,title,type,episodes,score,members,favorites,genre,studio,rating,demographic,theme,popularity,source,rank
173,Quanzhi Gaoshou,ONA,12,7.94,"310,760","3,444",Action,B.CMAY PICTURES,PG-13 - Teens 13 or older,N/A,Game,#540,Novel,#624
174,SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,OVA,1,7.94,"19,674",16,Comedy,Tatsunoko Production,PG-13 - Teens 13 or older,Shounen,School,#3972,Manga,#625
175,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,TV,26,7.94,"87,458","1,044",Suspense,Madhouse,R - 17+ (violence & profanity),Seinen,Game,#1768,Manga,#626
176,Vanitas no Karte,TV,12,7.94,"227,265","2,636",Supernatural,Bones,R - 17+ (violence & profanity),Shounen,Historical,#771,Manga,#627
177,Yakitate!! Japan,TV,69,7.94,"85,064",817,Comedy,Sunrise,PG-13 - Teens 13 or older,Shounen,N/A,#1790,Manga,#628
178,Yuru Yuri San☆Hai!,TV,12,7.94,"107,413",648,Comedy,TYO Animations,PG-13 - Teens 13 or older,N/A,School,#1494,Manga,#629
179,Mobile Suit Gundam Thunderbolt: December Sky,Movie,1,7.93,"17,494",132,Action,Sunrise,R - 17+ (violence & profanity),N/A,Mecha,#4206,Manga,#630
180,Mobile Suit Gundam: Hathaway's Flash,Movie,1,7.93,"17,631",141,Action,Sunrise,PG-13 - Teens 13 or older,N/A,Mecha,#4185,Novel,#631
181,One Piece Film: Gold,Movie,1,7.93,"147,196",235,Action,Toei Animation,PG-13 - Teens 13 or older,Shounen,N/A,#1185,Manga,#632
182,Ore Monogatari!!,TV,24,7.93,"545,903","4,109",Comedy,Madhouse,PG-13 - Teens 13 or older,Shoujo,N/A,#283,Manga,#633
183,Overlord,TV,13,7.93,"1,217,760","19,428",Action,Madhouse,R - 17+ (violence & profanity),N/A,Game,#73,Light novel,#634
184,Beastars,TV,12,7.93,"638,306","8,035",Drama,Orange,R - 17+ (violence & profanity),Shounen,Psychological,#220,Manga,#635
185,Beastars 2nd Season,TV,12,7.93,"305,105","1,774",Drama,Orange,R - 17+ (violence & profanity),Shounen,Psychological,#554,Manga,#636
186,Cike Wu Liuqi,ONA,10,7.93,"37,652",526,Action,add some,R - 17+ (violence & profanity),N/A,Martial Arts,#2888,Original,#637
187,Code Geass: Fukkatsu no Lelouch,Movie,1,7.93,"252,505","1,654",Action,Sunrise,R - 17+ (violence & profanity),N/A,Mecha,#685,Original,#638
188,Detective Conan OVA 09: The Stranger in 10 Years...,OVA,1,7.93,"18,522",12,Adventure,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,Police,#4089,Manga,#639
189,Eyeshield 21,TV,145,7.93,"160,203","1,823",Action,Gallop,PG-13 - Teens 13 or older,Shounen,N/A,#1083,Manga,#640
190,Hanasaku Iroha,TV,26,7.93,"293,013","2,392",Comedy,P.A. Works,PG-13 - Teens 13 or older,N/A,N/A,#575,Original,#641
191,Love Live! The School Idol Movie,Movie,1,7.93,"112,846","1,104",Slice of Life,Sunrise,PG-13 - Teens 13 or older,N/A,Music,#1436,Original,#642
192,Aria the Avvenire,Special,3,7.92,"22,969",93,Fantasy,TYO Animations,G - All Ages,Shounen,N/A,#3717,Manga,#643
193,Bishoujo Senshi Sailor Moon: Sailor Stars,TV,34,7.92,"95,499","1,040",Adventure,Toei Animation,PG-13 - Teens 13 or older,Shoujo,N/A,#1667,Manga,#644
194,City Hunter,TV,51,7.92,"62,589",775,Action,Sunrise,PG-13 - Teens 13 or older,Shounen,N/A,#2192,Manga,#645
195,Drifters,TV,12,7.92,"459,411","3,189",Action,Hoods Drifters Studio,R - 17+ (violence & profanity),Seinen,Historical,#349,Manga,#646
196,ef: A Tale of Memories.,TV,12,7.92,"231,130","2,683",Drama,Shaft,PG-13 - Teens 13 or older,N/A,N/A,#758,Visual novel,#647
197,Free!: Eternal Summer - Kindan no All Hard!,Special,1,7.92,"82,758",184,Comedy,Kyoto Animation,PG-13 - Teens 13 or older,N/A,School,#1830,Original,#648
198,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Movie,1,7.92,"32,901",45,Action,Artland,PG-13 - Teens 13 or older,N/A,Military,#3112,Novel,#649
199,Ginga Sengoku Gunyuuden Rai,TV,52,7.92,"12,911",70,Adventure,E&G Films,PG-13 - Teens 13 or older,Shounen,Space,#4722,Manga,#650
200,Jungle wa Itsumo Hare nochi Guu,TV,26,7.83,"30,800",375,Comedy,Shin-Ei Animation,PG-13 - Teens 13 or older,N/A,School,#3205,Manga,#801
201,K-On!: Live House!,Special,1,7.83,"137,326",218,Comedy,Kyoto Animation,PG-13 - Teens 13 or older,N/A,Music,#1254,4-koma manga,#802
202,Kekkai Sensen & Beyond,TV,12,7.83,"349,186","1,350",Action,Bones,R - 17+ (violence & profanity),Shounen,Super Power,#473,Manga,#803
203,Lupin III: The First,Movie,1,7.83,"21,468",118,Action,TMS Entertainment,PG-13 - Teens 13 or older,Seinen,N/A,#3841,Manga,#804
204,Lupin the IIIrd: Jigen Daisuke no Bohyou,Movie,1,7.83,"23,175",66,Action,Telecom Animation Film,R+ - Mild Nudity,Seinen,N/A,#3707,Manga,#805
205,Maria-sama ga Miteru 3rd,OVA,5,7.83,"19,709",78,Drama,Studio Deen,PG-13 - Teens 13 or older,N/A,School,#3969,Light novel,#806
206,Blue Period,TV,?,7.82,"98,434",776,Drama,Seven Arcs,None,Seinen,School,#1629,Manga,#807
207,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",Special,1,7.82,"236,864",535,Drama,Kyoto Animation,PG-13 - Teens 13 or older,N/A,School,#735,Visual novel,#808
208,Detective Conan Movie 07: Crossroad in the Ancient Capital,Movie,1,7.82,"43,633",26,Adventure,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,Police,#2654,Manga,#809
209,Detective Conan Movie 08: Time Travel of the Silver Sky,Special,1,7.82,"18,405",6,Adventure,TMS Entertainment,PG-13 - Teens 13 or older,N/A,N/A,#4106,Unknown,#810
210,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,OVA,7,7.82,"22,446",395,Action,Phoenix Entertainment,PG-13 - Teens 13 or older,Shounen,Mecha,#3756,Manga,#811
211,Haikyuu!!: Riku vs. Kuu,OVA,2,7.82,"214,029",446,Comedy,Production I.G,PG-13 - Teens 13 or older,Shounen,School,#816,Manga,#812
212,Hidamari Sketch x ☆☆☆ Specials,Special,2,7.82,"13,301",8,Comedy,Shaft,PG-13 - Teens 13 or older,Seinen,School,#4683,4-koma manga,#813
213,High Score Girl,TV,12,7.82,"202,537","2,186",Comedy,J.C.Staff,PG-13 - Teens 13 or older,Seinen,Game,#862,Manga,#814
214,Jungle wa Itsumo Hare nochi Guu Deluxe,OVA,6,7.82,"11,508",23,Comedy,Shin-Ei Animation,PG-13 - Teens 13 or older,N/A,N/A,#4978,Manga,#815
215,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),Movie,1,7.82,"207,324",412,Action,ufotable,R - 17+ (violence & profanity),N/A,N/A,#842,Light novel,#816
216,Little Witch Academia,Movie,1,7.82,"281,995","1,214",Adventure,Trigger,PG-13 - Teens 13 or older,N/A,School,#604,Original,#817
217,Magi: Sinbad no Bouken,OVA,5,7.82,"110,554",194,Action,Lay-duce,PG-13 - Teens 13 or older,Shounen,N/A,#1457,Manga,#818
218,New Initial D Movie: Legend 3 - Mugen,Movie,1,7.82,"19,998",46,Sports,SANZIGEN,PG-13 - Teens 13 or older,Seinen,Cars,#3957,Manga,#819
219,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,Special,1,7.82,"39,359",32,Comedy,J.C.Staff,PG-13 - Teens 13 or older,Josei,Music,#2802,Manga,#820
220,Sekaiichi Hatsukoi: Valentine-hen,Movie,1,7.82,"35,136",50,Boys Love,Studio Deen,PG-13 - Teens 13 or older,N/A,N/A,#2989,Manga,#821
221,Slayers Try,TV,26,7.82,"49,503",204,Adventure,E&G Films,PG-13 - Teens 13 or older,Shounen,Demons,#2487,Light novel,#822
222,Somali to Mori no Kamisama,TV,12,7.82,"227,811","1,268",Adventure,Satelight,PG-13 - Teens 13 or older,N/A,Demons,#772,Web manga,#823
223,Tunshi Xingkong,ONA,26,7.82,"1,786",25,Sci-Fi,Sparkly Key Animation Studio,None,N/A,N/A,#9668,Novel,#824
224,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,Movie,1,7.82,"12,194",21,Drama,Studio Gokumi,PG-13 - Teens 13 or older,N/A,N/A,#4862,Light novel,#825
225,Yuusha-Ou GaoGaiGar,TV,49,7.82,"17,733",287,Adventure,Sunrise,G - All Ages,Shounen,Mecha,#4178,Original,#826
226,Oniisama e...,TV,39,7.81,"34,348",693,Drama,Tezuka Productions,PG-13 - Teens 13 or older,Shoujo,Psychological,#3033,Manga,#827
227,Saiyuuki Reload: Burial,OVA,3,7.81,"11,803",43,Action,Studio Pierrot,PG-13 - Teens 13 or older,Shoujo,N/A,#4922,Manga,#828
228,Saraiya Goyou,TV,12,7.81,"78,710",763,Drama,Manglobe,PG-13 - Teens 13 or older,Seinen,Historical,#1890,Manga,#829
229,Tamayura: Sotsugyou Shashin Part 3 - Akogare,Movie,1,7.81,"8,064",11,Comedy,TYO Animations,G - All Ages,N/A,N/A,#5747,Original,#830
230,Wolf's Rain,TV,26,7.81,"290,336","5,200",Action,Bones,PG-13 - Teens 13 or older,N/A,N/A,#583,Original,#831
231,Bleach,TV,366,7.81,"1,486,349","51,294",Action,Studio Pierrot,PG-13 - Teens 13 or older,Shounen,Super Power,#40,Manga,#832
232,Bungou Stray Dogs,TV,12,7.81,"998,524","18,211",Action,Bones,R - 17+ (violence & profanity),Seinen,Super Power,#100,Manga,#833
233,City Hunter 3,TV,13,7.81,"16,922",38,Action,Sunrise,PG-13 - Teens 13 or older,Shounen,N/A,#4272,Manga,#834
234,Coquelicot-zaka kara,Movie,1,7.81,"148,270",787,Romance,Studio Ghibli,G - All Ages,Shoujo,Historical,#1173,Manga,#835
235,Detective Conan Movie 09: Strategy Above the Depths,Movie,1,7.81,"41,686",18,Adventure,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,Police,#2706,Manga,#836
236,Gochuumon wa Usagi Desu ka??,TV,12,7.81,"109,309",764,Comedy,Kinema Citrus,PG-13 - Teens 13 or older,N/A,N/A,#1473,4-koma manga,#837
237,Grisaia no Rakuen,TV,10,7.81,"347,193","1,923",Drama,8bit,R+ - Mild Nudity,N/A,Harem,#477,Visual novel,#838
238,Haikyuu!! (OVA),OVA,10,7.81,"21,447",47,Sports,add some,PG-13 - Teens 13 or older,Shounen,N/A,#3843,Manga,#839
239,Innocence,Movie,1,7.81,"141,027",828,Sci-Fi,Production I.G,R - 17+ (violence & profanity),N/A,Mecha,#1222,Manga,#840
240,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,OVA,8,7.81,"86,680",700,Action,Shaft,R - 17+ (violence & profanity),N/A,N/A,#1776,Novel,#841
241,Last Exile,TV,26,7.81,"156,374","1,715",Action,Gonzo,PG-13 - Teens 13 or older,N/A,N/A,#1111,Original,#842
242,Lucky☆Star: Original na Visual to Animation,OVA,1,7.81,"120,931",192,Comedy,Kyoto Animation,PG-13 - Teens 13 or older,N/A,Parody,#1371,4-koma manga,#843
243,Macross F Movie 1: Itsuwari no Utahime,Movie,1,7.81,"28,008",49,Action,Satelight,PG-13 - Teens 13 or older,N/A,Mecha,#3369,Original,#844
244,Break Blade 3: Kyoujin no Ato,Movie,1,7.80,"55,889",27,Action,Production I.G,R - 17+ (violence & profanity),Shounen,Mecha,#2328,Manga,#845
245,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,OVA,1,7.80,"42,970",74,Action,Sunrise,R - 17+ (violence & profanity),N/A,Mecha,#2670,Original,#846
246,Colorful (Movie),Movie,1,7.80,"163,797","1,043",Drama,Sunrise,PG-13 - Teens 13 or older,N/A,N/A,#1053,Novel,#847
247,Detective Conan Movie 12: Full Score of Fear,Movie,1,7.80,"39,707",17,Adventure,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,Police,#2784,Manga,#848
248,Devilman: Crybaby,ONA,10,7.80,"842,441","17,353",Action,Science SARU,R+ - Mild Nudity,N/A,Demons,#128,Manga,#849
249,Emiya-san Chi no Kyou no Gohan,ONA,13,7.80,"101,731",561,Comedy,ufotable,PG-13 - Teens 13 or older,N/A,N/A,#1571,Manga,#850
250,Crayon Shin-chan,TV,?,7.72,"65,672",907,Comedy,Shin-Ei Animation,PG - Children,Seinen,School,#2115,Manga,#1001
251,Daicon Opening Animations,Special,2,7.72,"17,079",161,Action,Gainax,PG - Children,N/A,Mecha,#4249,Other,#1002
252,Detective Conan Movie 16: The Eleventh Striker,Movie,1,7.72,"35,762",18,Adventure,TMS Entertainment,G - All Ages,Shounen,Police,#2965,Manga,#1003
253,Doraemon (1979),TV,1787,7.72,"46,863",419,Adventure,Shin-Ei Animation,PG - Children,N/A,N/A,#2568,Manga,#1004
254,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,TV,12,7.72,"68,729",327,Action,Production I.G,R - 17+ (violence & profanity),N/A,Military,#2050,Novel,#1005
255,Hourou Musuko,TV,11,7.72,"113,522",980,Drama,AIC Classic,PG-13 - Teens 13 or older,Seinen,School,#1432,Manga,#1006
256,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,Movie,1,7.72,"137,392",227,Action,Kyoto Animation,PG-13 - Teens 13 or older,N/A,N/A,#1253,Light novel,#1007
257,Little Busters!: EX,Special,8,7.72,"48,972",143,Comedy,J.C.Staff,PG-13 - Teens 13 or older,N/A,School,#2502,Visual novel,#1008
258,Macross Plus,OVA,4,7.72,"40,410",352,Drama,Triangle Staff,R - 17+ (violence & profanity),N/A,Mecha,#2754,Original,#1009
259,Macross Plus Movie Edition,Movie,1,7.72,"14,450",70,Action,Triangle Staff,PG-13 - Teens 13 or older,N/A,Mecha,#4533,Original,#1010
260,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,Special,1,7.72,"31,806",27,Action,Toei Animation,PG-13 - Teens 13 or older,Shounen,Super Power,#3158,Manga,#1011
261,Panty & Stocking with Garterbelt,TV,13,7.72,"321,337","4,517",Action,Gainax,R - 17+ (violence & profanity),N/A,Parody,#519,Original,#1012
262,Sekaiichi Hatsukoi,TV,12,7.72,"191,518","2,912",Boys Love,Studio Deen,PG-13 - Teens 13 or older,N/A,N/A,#917,Manga,#1013
263,Mobile Suit Gundam Wing,TV,49,7.71,"141,433","2,192",Action,Sunrise,PG-13 - Teens 13 or older,N/A,Mecha,#1217,Original,#1014
264,Mujin Wakusei Survive,TV,52,7.71,"24,908",257,Action,Madhouse,G - All Ages,N/A,N/A,#3572,Original,#1015
265,Nurarihyon no Mago OVA,OVA,2,7.71,"22,496",20,Action,Studio Deen,PG-13 - Teens 13 or older,Shounen,Demons,#3748,Manga,#1016
266,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,Movie,1,7.71,"76,291",242,Adventure,Toei Animation,PG-13 - Teens 13 or older,Shounen,N/A,#1921,Manga,#1017
267,One Punch Man: Road to Hero,OVA,1,7.71,"270,766",297,Action,Madhouse,R - 17+ (violence & profanity),N/A,Parody,#627,Web manga,#1018
268,Princess Principal,TV,12,7.71,"172,887","2,150",Action,Actas,R - 17+ (violence & profanity),N/A,Historical,#998,Original,#1019
269,Seitokai Yakuindomo*,TV,13,7.71,"220,798",516,Comedy,GoHands,R - 17+ (violence & profanity),Shounen,School,#790,4-koma manga,#1020
270,Seto no Hanayome,TV,26,7.71,"290,543","2,769",Comedy,Gonzo,PG-13 - Teens 13 or older,Shounen,Parody,#582,Manga,#1021
271,Taiyou no Ko Esteban,TV,39,7.71,"10,667",86,Adventure,Studio Pierrot,PG-13 - Teens 13 or older,N/A,Historical,#5122,Novel,#1022
272,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",OVA,1,7.71,"65,557",149,Drama,Bones,PG-13 - Teens 13 or older,Shoujo,N/A,#2119,Manga,#1023
273,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,ONA,8,7.71,"59,288",166,Action,Lerche,PG-13 - Teens 13 or older,Shounen,School,#2244,Manga,#1024
274,Detective Conan Movie 19: The Hellfire Sunflowers,Movie,1,7.71,"31,059",36,Action,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,Police,#3200,Manga,#1025
275,Dragon Ball Kai,TV,97,7.71,"310,479","2,484",Action,Toei Animation,PG-13 - Teens 13 or older,Shounen,Martial Arts,#543,Manga,#1026
276,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,12,7.71,"664,045","5,255",Action,A-1 Pictures,R - 17+ (violence & profanity),N/A,Military,#204,Light novel,#1027
277,Girls & Panzer: Kore ga Hontou no Anzio-sen Desu!,OVA,1,7.71,"39,659",51,Sports,Actas,PG-13 - Teens 13 or older,N/A,Military,#2783,Original,#1028
278,Go! Princess Precure,TV,50,7.71,"13,979",263,Action,Toei Animation,G - All Ages,Shoujo,School,#4597,Original,#1029
279,Hayate no Gotoku!!,TV,25,7.71,"105,189",470,Action,J.C.Staff,PG-13 - Teens 13 or older,Shounen,Harem,#1523,Manga,#1030
280,Joshikousei no Mudazukai,TV,12,7.71,"92,020",507,Comedy,Passione,PG-13 - Teens 13 or older,N/A,School,#1703,Web manga,#1031
281,Akage no Anne,TV,50,7.70,"24,890",540,Drama,Nippon Animation,G - All Ages,N/A,Historical,#3575,Novel,#1032
282,Binbougami ga!,TV,13,7.70,"207,315","1,120",Comedy,Sunrise,PG-13 - Teens 13 or older,Shounen,Parody,#839,Manga,#1033
283,Bishoujo Senshi Sailor Moon R,TV,43,7.70,"133,340",704,Romance,Toei Animation,PG-13 - Teens 13 or older,Shoujo,Demons,#1285,Manga,#1034
284,Bishoujo Senshi Sailor Moon R: The Movie,Movie,1,7.70,"56,214",187,Drama,Toei Animation,PG-13 - Teens 13 or older,Shoujo,N/A,#2320,Manga,#1035
285,Break Blade 6: Doukoku no Toride,Movie,1,7.70,"51,535",24,Action,Production I.G,R - 17+ (violence & profanity),Shounen,Mecha,#2446,Manga,#1036
286,Change!! Getter Robo: Sekai Saigo no Hi,OVA,13,7.70,"12,345",280,Action,Brain's Base,R - 17+ (violence & profanity),Shounen,Mecha,#4831,Unknown,#1037
287,Doupo Cangqiong 3rd Season,ONA,12,7.70,"4,517",32,Action,Motion Magic,PG-13 - Teens 13 or older,N/A,Demons,#7255,Novel,#1038
288,Gakkou no Kaidan,TV,19,7.70,"148,301","1,341",Horror,Studio Pierrot,PG-13 - Teens 13 or older,N/A,N/A,#1175,Original,#1039
289,Ichigo Mashimaro Encore,OVA,2,7.70,"19,266",16,Comedy,Daume,PG-13 - Teens 13 or older,N/A,N/A,#4007,4-koma manga,#1040
290,Ichigo Mashimaro OVA,OVA,3,7.70,"21,828",20,Comedy,Daume,PG-13 - Teens 13 or older,N/A,School,#3808,4-koma manga,#1041
291,JoJo no Kimyou na Bouken: Phantom Blood,Movie,1,7.70,"54,979",526,Action,APPP,R - 17+ (violence & profanity),Shounen,Vampire,#2359,Manga,#1042
292,Kami nomi zo Shiru Sekai,TV,12,7.70,"552,264","5,304",Comedy,Manglobe,PG-13 - Teens 13 or older,Shounen,Harem,#270,Manga,#1043
293,Kami nomi zo Shiru Sekai: Tenri-hen,OVA,2,7.70,"122,899",102,Comedy,Manglobe,PG-13 - Teens 13 or older,Shounen,Harem,#1353,Manga,#1044
294,Kill la Kill Specials,Special,2,7.70,"177,646",253,Action,Trigger,R - 17+ (violence & profanity),N/A,School,#975,Original,#1045
295,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,Movie,1,7.70,"43,986",28,Adventure,Shaft,R - 17+ (violence & profanity),N/A,N/A,#2647,Light novel,#1046
296,Koutetsujou no Kabaneri Movie 3: Unato Kessen,Movie,1,7.70,"95,309",214,Action,Wit Studio,R - 17+ (violence & profanity),N/A,N/A,#1671,Original,#1047
297,Kuroshitsuji,TV,24,7.70,"991,718","20,293",Action,A-1 Pictures,R - 17+ (violence & profanity),Shounen,Demons,#102,Manga,#1048
298,Macross F: Close Encounter - Deculture Edition,Special,1,7.70,"11,840",7,Action,Satelight,PG-13 - Teens 13 or older,N/A,Mecha,#4909,Original,#1049
299,Manga de Wakaru! Fate/Grand Order,Special,1,7.70,"13,937",40,Comedy,A-1 Pictures,PG-13 - Teens 13 or older,N/A,N/A,#4602,Game,#1050
300,Jigoku Shoujo Mitsuganae,TV,26,7.64,"93,359",251,Mystery,Studio Deen,R - 17+ (violence & profanity),N/A,Psychological,#1691,Original,#1201
301,Jungle wa Itsumo Hare nochi Guu Final,OVA,7,7.64,"9,388",13,Comedy,Shin-Ei Animation,PG-13 - Teens 13 or older,N/A,N/A,#5385,Manga,#1202
302,Kimagure Orange☆Road: Ano Hi ni Kaeritai,Movie,1,7.64,"8,196",39,Comedy,Studio Pierrot,R - 17+ (violence & profanity),Shounen,N/A,#5713,Manga,#1203
303,Kokoro Yohou,Music,1,7.64,"3,525",23,Romance,Enishiya,G - All Ages,N/A,Music,#7914,Original,#1204
304,Kuroko no Basket: Mou Ikkai Yarimasen ka,Special,1,7.64,"41,056",25,Comedy,Production I.G,PG-13 - Teens 13 or older,Shounen,School,#2733,Manga,#1205
305,Mahou Shoujo Lyrical Nanoha StrikerS,TV,26,7.64,"48,987",550,Action,Seven Arcs,PG-13 - Teens 13 or older,N/A,Super Power,#2501,Original,#1206
306,Mini Dragon Specials,Special,8,7.64,"22,249",110,Comedy,add some,PG-13 - Teens 13 or older,N/A,N/A,#3767,Manga,#1207
307,Overlord Movie 2: Shikkoku no Eiyuu,Movie,1,7.64,"56,963",86,Action,Madhouse,R - 17+ (violence & profanity),N/A,Game,#2303,Light novel,#1208
308,Persona 3 the Movie 2: Midsummer Knight's Dream,Movie,1,7.64,"70,990",176,Action,A-1 Pictures,R - 17+ (violence & profanity),N/A,N/A,#1997,Game,#1209
309,Rozen Maiden: Träumend,TV,12,7.64,"97,036",433,Action,Nomad,PG-13 - Teens 13 or older,Seinen,N/A,#1640,Manga,#1210
310,Soredemo Sekai wa Utsukushii,TV,12,7.64,"259,215","1,742",Adventure,Studio Pierrot,PG-13 - Teens 13 or older,Shoujo,N/A,#672,Manga,#1211
311,Tegamibachi,TV,25,7.64,"109,347",720,Adventure,Studio Pierrot,PG-13 - Teens 13 or older,Shounen,N/A,#1471,Manga,#1212
312,Tenchi Muyou! Ryououki,OVA,6,7.64,"45,021",499,Action,AIC,R+ - Mild Nudity,Shounen,Space,#2620,Original,#1213
313,Tian Bao Fuyao Lu 2nd Season,ONA,13,7.64,"1,904",14,Action,Sparkly Key Animation Studio,PG-13 - Teens 13 or older,N/A,Historical,#9492,Novel,#1214
314,Toaru Hikuushi e no Tsuioku,Movie,1,7.64,"62,566",216,Adventure,Madhouse,PG-13 - Teens 13 or older,N/A,Military,#2188,Light novel,#1215
315,Nurarihyon no Mago,TV,24,7.63,"238,854","1,203",Action,Studio Deen,PG-13 - Teens 13 or older,Shounen,Demons,#726,Manga,#1216
316,One Piece: Episode of Luffy - Hand Island no Bouken,Special,1,7.63,"41,911",22,Action,Toei Animation,PG-13 - Teens 13 or older,Shounen,Super Power,#2697,Manga,#1217
317,Owari no Seraph: Nagoya Kessen-hen,TV,12,7.63,"630,800","2,492",Action,Wit Studio,R - 17+ (violence & profanity),Shounen,Military,#222,Manga,#1218
318,Pokemon Movie 01: Mewtwo no Gyakushuu,Movie,1,7.63,"220,545",307,Action,OLM,PG - Children,Kids,N/A,#792,Game,#1219
319,Shoujo☆Kageki Revue Starlight,TV,12,7.63,"64,553","1,083",Music,Kinema Citrus,PG-13 - Teens 13 or older,N/A,Music,#2147,Original,#1220
320,Trapp Ikka Monogatari,TV,40,7.63,"6,572",20,Drama,Nippon Animation,G - All Ages,N/A,Historical,#6231,Other,#1221
321,Aggressive Retsuko,TV,100,7.63,"87,251",449,Comedy,Fanworks,PG-13 - Teens 13 or older,N/A,Music,#1773,Other,#1222
322,Ajin 2nd Season,TV,13,7.63,"251,264",472,Action,Polygon Pictures,R - 17+ (violence & profanity),Seinen,N/A,#690,Manga,#1223
323,Full Metal Panic!,TV,24,7.63,"436,985","4,059",Action,Gonzo,R - 17+ (violence & profanity),N/A,Mecha,#363,Light novel,#1224
324,Fune wo Amu,TV,11,7.63,"99,863",370,Drama,Zexcs,PG-13 - Teens 13 or older,N/A,N/A,#1604,Novel,#1225
325,Fushigi Yuugi,TV,52,7.63,"103,794","1,887",Adventure,Studio Pierrot,PG-13 - Teens 13 or older,Shoujo,Historical,#1548,Manga,#1226
326,Jigoku Shoujo,TV,26,7.63,"310,178","2,821",Horror,Studio Deen,R - 17+ (violence & profanity),N/A,Psychological,#542,Original,#1227
327,Layton Kyouju to Eien no Utahime,Movie,1,7.63,"24,949",141,Adventure,OLM,PG - Children,N/A,N/A,#3565,Game,#1228
328,Boku no Hero Academia the Movie 1: Futari no Hero,Movie,1,7.62,"565,947","1,210",Action,Bones,PG-13 - Teens 13 or older,Shounen,Super Power,#257,Manga,#1229
329,Chibi Maruko-chan,TV,142,7.62,"10,166",91,Comedy,Nippon Animation,G - All Ages,Shoujo,N/A,#5227,Manga,#1230
330,Chuuka Ichiban!,TV,52,7.62,"16,971",101,Action,Nippon Animation,PG-13 - Teens 13 or older,Shounen,N/A,#4261,Manga,#1231
331,Detective Conan: Black History,Special,1,7.62,"7,218",5,Adventure,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,Police,#6017,Unknown,#1232
332,Digimon Tamers,TV,51,7.62,"172,888","1,580",Adventure,Toei Animation,PG - Children,Shounen,N/A,#999,Original,#1233
333,Fanren Xiu Xian Chuan: Fanren Feng Qi Tian Nan,ONA,8,7.62,"2,706",19,Action,Original Force,PG-13 - Teens 13 or older,N/A,Historical,#8593,Novel,#1234
334,Free! Movie 2: Timeless Medley - Yakusoku,Movie,1,7.62,"29,751",41,Slice of Life,Kyoto Animation,PG-13 - Teens 13 or older,N/A,School,#3269,Original,#1235
335,Gakkougurashi!,TV,12,7.62,"376,401","4,568",Horror,Lerche,R - 17+ (violence & profanity),N/A,Psychological,#433,Manga,#1236
336,Hakuouki Sekkaroku,OVA,6,7.62,"25,151",78,Action,Studio Deen,PG-13 - Teens 13 or older,Josei,Demons,#3554,Visual novel,#1237
337,Hybrid Child,OVA,4,7.62,"68,477",434,Boys Love,Studio Deen,PG-13 - Teens 13 or older,N/A,Historical,#2056,Manga,#1238
338,Inazuma Eleven,TV,127,7.62,"165,613","2,983",Sports,OLM,G - All Ages,Shounen,Super Power,#1041,Game,#1239
339,K: Seven Stories Movie 5 - Memory of Red - Burn,Movie,1,7.62,"17,668",27,Action,GoHands,PG-13 - Teens 13 or older,N/A,Super Power,#4186,Manga,#1240
340,Kekkai Sensen,TV,12,7.62,"712,720","6,354",Action,Bones,R - 17+ (violence & profanity),Shounen,Super Power,#168,Manga,#1241
341,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Movie,1,7.62,"33,882",255,Slice of Life,Sunrise,PG-13 - Teens 13 or older,N/A,Music,#3052,Original,#1242
342,Mahoujin Guruguru,TV,45,7.62,"9,326",63,Adventure,Nippon Animation,G - All Ages,Shounen,N/A,#5401,Manga,#1243
343,Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,OVA,1,7.62,"66,904",40,Action,Bones,PG-13 - Teens 13 or older,N/A,N/A,#2092,Original,#1244
